age,mortality_rate
25,0.00045
26,0.00049
27,0.00053
28,0.00058
29,0.00063
30,0.00068
31,0.00074
32,0.00080
33,0.00087
34,0.00094
35,0.00102
36,0.00110
37,0.00119
38,0.00129
39,0.00139
40,0.00150
41,0.00162
42,0.00175
43,0.00189
44,0.00204
45,0.00220
46,0.00237
47,0.00256
48,0.00276
49,0.00298
50,0.00321
51,0.00346
52,0.00373
53,0.00402
54,0.00433
55,0.00467
56,0.00503
57,0.00542
58,0.00584
59,0.00629
60,0.00677
61,0.00729
62,0.00784
63,0.00844
64,0.00908
65,0.00976
66,0.01050
67,0.01129
68,0.01214
69,0.01306
70,0.01405
71,0.01511
72,0.01625
73,0.01748
74,0.01880
75,0.02022
76,0.02175
77,0.02340
78,0.02517
79,0.02708
80,0.02914
81,0.03135
82,0.03374
83,0.03630
84,0.03907
85,0.04204
86,0.04524
87,0.04869
88,0.05240
89,0.05640
90,0.06070
91,0.06534
92,0.07034
93,0.07573
94,0.08154
95,0.08781
96,0.09456
97,0.10184
98,0.10968
99,0.11812
100,0.12721
